module,phase,name,code,skill-name,description,required-status,agent-name,output-location
core,,Brainstorming,BR,chico-brainstorming,Facilitate interactive brainstorming sessions,,Carson,_chico-output/planning-artifacts
core,,Distillator,DI,chico-distillator,Lossless LLM-optimized compression of documents,,,_chico-output
core,,Editorial Review Prose,EP,chico-editorial-review-prose,Clinical copy-editor review,,,
core,,Editorial Review Structure,ES,chico-editorial-review-structure,Structural editing and reorganization,,,
core,,Party Mode,PM,chico-party-mode,Multi-agent group discussions,,,
core,,Adversarial Review,AR,chico-review-adversarial,Cynical review with anti-incompletion checks,,,_chico-output/reports
core,,Edge Case Hunter,EC,chico-review-edge-case,Walk every branching path and boundary,,,_chico-output/reports
core,,Advanced Elicitation,AE,chico-advanced-elicitation,Push LLM to reconsider and improve,,,
core,,Shard Document,SD,chico-shard-doc,Split large markdown into smaller files,,,
core,,Index Docs,ID,chico-index-docs,Generate or update index.md for folder,,,
core,,Help,HE,chico-help,Contextual guidance and recommendations,,,
cmm,1-analysis,Business Analyst Agent,BA,chico-agent-analyst,Strategic Business Intelligence Lead,,Mary++,_chico-output/planning-artifacts/phase-01
cmm,1-analysis,Product Brief,PB,chico-product-brief,Create or update product brief,,Mary++,_chico-output/planning-artifacts
cmm,1-analysis,PRFAQ Challenge,PF,chico-prfaq,Working Backwards PRFAQ challenge,,Mary++,_chico-output/planning-artifacts
cmm,1-analysis,Domain Research,DR,chico-domain-research,Domain and industry research,,Mary++,_chico-output/planning-artifacts
cmm,1-analysis,Market Research,MR,chico-market-research,Competition and customer research,,Mary++,_chico-output/planning-artifacts
cmm,1-analysis,Technical Research,TR,chico-technical-research,Technology and architecture research,,Winston++,_chico-output/planning-artifacts
cmm,1-analysis,Document Project,DP,chico-document-project,Document brownfield projects,,Paige++,_chico-output/planning-artifacts
cmm,2-planning,Product Manager Agent,JO,chico-agent-pm,Product & Growth Strategist,,John++,_chico-output/planning-artifacts/phase-02
cmm,2-planning,Create PRD,CP,chico-create-prd,Create product requirements document,,John++,_chico-output/planning-artifacts
cmm,2-planning,Edit PRD,EP2,chico-edit-prd,Edit existing PRD,,John++,_chico-output/planning-artifacts
cmm,2-planning,Validate PRD,VP,chico-validate-prd,Validate PRD against standards,,John++,_chico-output/planning-artifacts
cmm,2-planning,UX Designer Agent,SA,chico-agent-ux-designer,UX/UI & Accessibility Architect,,Sally++,_chico-output/planning-artifacts/phase-02
cmm,2-planning,Create UX Design,UX,chico-create-ux-design,Plan UX patterns and design specs,,Sally++,_chico-output/planning-artifacts
cmm,2-planning,Generate Project Context,GP,chico-generate-project-context,Create project-context.md,,,
cmm,3-solutioning,Architect Agent,WI,chico-agent-architect,Full-Stack Architecture Lead,,Winston++,_chico-output/planning-artifacts/phase-03
cmm,3-solutioning,Create Architecture,CA,chico-create-architecture,Document technical decisions,,Winston++,_chico-output/planning-artifacts
cmm,3-solutioning,Create Epics and Stories,CE,chico-create-epics-and-stories,Break requirements into epics,,Winston++,_chico-output/planning-artifacts
cmm,3-solutioning,Check Implementation Readiness,IR,chico-check-implementation-readiness,Validate alignment of all specs,,,
cmm,4-implementation,Developer Agent,AM,chico-agent-dev,Full-Stack Dev Lead,,Amelia++,
cmm,4-implementation,Create Story,CS,chico-create-story,Create story file with context,,Amelia++,_chico-output/implementation-artifacts
cmm,4-implementation,Dev Story,DS,chico-dev-story,Execute story implementation,,Amelia++,
cmm,4-implementation,Quick Dev,QD,chico-quick-dev,Implement any intent quickly,,Amelia++,
cmm,4-implementation,Code Review,CR,chico-code-review,Adversarial + compliance review,,,_chico-output/reports
cmm,4-implementation,Sprint Planning,SP,chico-sprint-planning,Generate sprint tracking,,Amelia++,_chico-output/planning-artifacts
cmm,4-implementation,Sprint Status,SS,chico-sprint-status,Summarize sprint status,,,
