canonicalId,name,description,module,category,origin,path
chico-agent-analyst,Mary++ Agent,Strategic Business Intelligence Lead — business analysis + market research + personas,cmm,agent,fused,.claude/skills/chico-agent-analyst
chico-agent-pm,John++ Agent,Product & Growth Strategist — PRD + growth/CRO strategy,cmm,agent,fused,.claude/skills/chico-agent-pm
chico-agent-ux-designer,Sally++ Agent,UX/UI & Accessibility Architect — design system + WCAG AA,cmm,agent,fused,.claude/skills/chico-agent-ux-designer
chico-agent-architect,Winston++ Agent,Full-Stack Architecture Lead — system + DB + API + security + performance,cmm,agent,fused,.claude/skills/chico-agent-architect
chico-agent-dev,Amelia++ Agent,Full-Stack Dev Lead & Orchestrator — frontend + backend + batch orchestration,cmm,agent,fused,.claude/skills/chico-agent-dev
chico-agent-tech-writer,Paige++ Agent,Documentation & Knowledge Lead — README + API docs + deploy guide,cmm,agent,fused,.claude/skills/chico-agent-tech-writer
chico-tea,Murat++ Agent,Master QA & Verification Architect — all testing + audits + browser verify,tea,agent,fused,.claude/skills/chico-tea
chico-web-brand,Frida Agent,Brand Identity Architect — archetype + palette + typography + voice,web,agent,new,.claude/skills/chico-web-brand
chico-web-copy,Oscar Agent,Voice & Copy Strategist — microcopy + CTAs + error messages + i18n,web,agent,new,.claude/skills/chico-web-copy
chico-web-data-layer,Atlas Agent,Data Architecture Engineer — Prisma schema + migrations + seeders + repositories,web,agent,new,.claude/skills/chico-web-data-layer
chico-web-auth,Sentinel Agent,Auth & Security Engineer — auth flows + RBAC + JWT + middleware,web,agent,new,.claude/skills/chico-web-auth
chico-web-ui-components,Pixel Agent,Component Library Architect — Atomic Design + accessible + dark mode,web,agent,new,.claude/skills/chico-web-ui-components
chico-web-forms,Guardian Agent,Interaction Integrity Agent — zero dead elements + connect forms to APIs,web,agent,new,.claude/skills/chico-web-forms
chico-web-user-flows,Navigator Agent,User Journey Orchestrator — verify 8+ user flows end-to-end,web,agent,new,.claude/skills/chico-web-user-flows
chico-web-admin,Console Agent,Admin Interface Builder — dashboard + user CRUD + entity management,web,agent,new,.claude/skills/chico-web-admin
chico-web-integration,Bridge Agent,External Service Integrator — email + payments + file upload,web,agent,new,.claude/skills/chico-web-integration
chico-web-realtime,Pulse Agent,Realtime & Notifications Engineer — WebSocket/SSE + notification system,web,agent,new,.claude/skills/chico-web-realtime
chico-web-seo-perf,Beacon Agent,SEO & Web Performance Engineer — metadata + sitemap + JSON-LD + optimization,web,agent,new,.claude/skills/chico-web-seo-perf
chico-web-docker,Harbor Agent,Container & Orchestration Engineer — Dockerfile + compose + health checks,web,agent,new,.claude/skills/chico-web-docker
chico-web-cicd,Pipeline Agent,CI/CD & Automation Engineer — GitHub Actions + Dependabot + preview deploys,web,agent,new,.claude/skills/chico-web-cicd
chico-web-cloud,Nimbus Agent,Cloud Infrastructure Architect — IaC + CDN + DNS + backup,web,agent,new,.claude/skills/chico-web-cloud
chico-web-analytics,Iris Agent,Analytics & Privacy Engineer — Plausible/PostHog + GDPR + event tracking,web,agent,new,.claude/skills/chico-web-analytics
chico-web-monitoring,Sentry Agent,Observability & Alerting Engineer — error tracking + APM + structured logs,web,agent,new,.claude/skills/chico-web-monitoring
chico-web-growth,Catalyst Agent,Growth Experimentation Lead — A/B testing + referral + email automation,web,agent,new,.claude/skills/chico-web-growth
chico-web-bug-hunter,Tracker Agent,Production Bug Investigator — triage + root cause + TDD fix + post-mortem,web,agent,new,.claude/skills/chico-web-bug-hunter
chico-web-feature-planner,Compass Agent,Feature Roadmap Strategist — RICE scoring + 3-horizon roadmap,web,agent,new,.claude/skills/chico-web-feature-planner
chico-web-refactor,Forge Agent,Technical Debt Reducer — debt inventory + impact/effort matrix + quick wins,web,agent,new,.claude/skills/chico-web-refactor
chico-cis-brainstorming-coach,Carson Agent,Elite Brainstorming Specialist,cis,agent,conserved,.claude/skills/chico-cis-brainstorming-coach
chico-cis-creative-problem-solver,Dr. Quinn Agent,Master Problem Solver — TRIZ + Theory of Constraints,cis,agent,conserved,.claude/skills/chico-cis-creative-problem-solver
chico-cis-design-thinking-coach,Maya Agent,Design Thinking Maestro — human-centered design,cis,agent,conserved,.claude/skills/chico-cis-design-thinking-coach
chico-cis-innovation-strategist,Victor Agent,Disruptive Innovation Oracle — Blue Ocean + JTBD,cis,agent,conserved,.claude/skills/chico-cis-innovation-strategist
chico-cis-presentation-master,Caravaggio Agent,Visual Communication Expert — slides + pitch decks,cis,agent,conserved,.claude/skills/chico-cis-presentation-master
chico-cis-storyteller,Sophia Agent,Master Storyteller — narrative frameworks,cis,agent,conserved,.claude/skills/chico-cis-storyteller
chico-gds-game-architect,Cloud Dragonborn Agent,Game Systems Architect,gds,agent,conserved,.claude/skills/chico-gds-game-architect
chico-gds-game-designer,Samus Shepard Agent,Lead Game Designer,gds,agent,conserved,.claude/skills/chico-gds-game-designer
chico-gds-game-dev,Link Freeman Agent,Senior Game Developer,gds,agent,conserved,.claude/skills/chico-gds-game-dev
chico-gds-game-solo-dev,Indie Agent,Elite Solo Dev — Quick Flow,gds,agent,conserved,.claude/skills/chico-gds-game-solo-dev
chico-gds-tech-writer,Paige GDS Agent,Technical Writer (Game),gds,agent,conserved,.claude/skills/chico-gds-tech-writer
chico-agent-builder,Agent Builder,Create edit and analyze AI agents through conversational discovery,cmb,builder,conserved,.claude/skills/chico-agent-builder
chico-module-builder,Module Builder,Plan create and validate Chico Protocol modules,cmb,builder,conserved,.claude/skills/chico-module-builder
chico-workflow-builder,Workflow Builder,Build convert and analyze workflows and skills,cmb,builder,conserved,.claude/skills/chico-workflow-builder
chico,Chico Orchestrator,Chef d'Orchestre — single entry point — qualifies user requests and routes to the right agents (existing or ad hoc) with parallelization,core,orchestrator,new,.claude/skills/chico
chico-verify-concept,Verify Concept,Pass 0 — Brief fidelity verification,verify,verification,new,.claude/skills/chico-verify-concept
chico-verify-production,Verify Production,Pass 2 — Build + imports + assets verification,verify,verification,new,.claude/skills/chico-verify-production
chico-verify-functional,Verify Functional,Pass 3 — Zero dead elements + zero mocks + complete flows,verify,verification,new,.claude/skills/chico-verify-functional
chico-verify-browser,Verify Browser,Pass 4 — Real Playwright browser testing on Chromium,verify,verification,new,.claude/skills/chico-verify-browser
chico-verify-completude,Verify Completude,Pass 5 — Zero TODO/FIXME/placeholder/mock/lorem,verify,verification,new,.claude/skills/chico-verify-completude
chico-brainstorming,Brainstorming,Facilitate interactive brainstorming sessions,core,workflow,conserved,.claude/skills/chico-brainstorming
chico-distillator,Distillator,Lossless LLM-optimized compression of documents,core,workflow,conserved,.claude/skills/chico-distillator
chico-editorial-review-prose,Editorial Review Prose,Clinical copy-editor for communication issues,core,workflow,conserved,.claude/skills/chico-editorial-review-prose
chico-editorial-review-structure,Editorial Review Structure,Structural editor for reorganization and simplification,core,workflow,conserved,.claude/skills/chico-editorial-review-structure
chico-party-mode,Party Mode,Multi-agent group discussions with all installed agents,core,workflow,conserved,.claude/skills/chico-party-mode
chico-review-adversarial,Adversarial Review,Cynical review with anti-incompletion checks,core,workflow,enriched,.claude/skills/chico-review-adversarial
chico-review-edge-case,Edge Case Hunter,Walk every branching path and boundary condition,core,workflow,conserved,.claude/skills/chico-review-edge-case
chico-advanced-elicitation,Advanced Elicitation,Push LLM to reconsider and improve output,core,workflow,conserved,.claude/skills/chico-advanced-elicitation
chico-shard-doc,Shard Document,Split large markdown into smaller organized files,core,utility,conserved,.claude/skills/chico-shard-doc
chico-index-docs,Index Docs,Generate or update index.md for folder contents,core,utility,conserved,.claude/skills/chico-index-docs
chico-help,Help,Contextual guidance and next-step recommendations,core,utility,conserved,.claude/skills/chico-help
chico-create-prd,Create PRD,Create product requirements document — 14-step guided workflow,cmm,workflow,conserved,.claude/skills/chico-create-prd
chico-edit-prd,Edit PRD,Edit an existing PRD,cmm,workflow,conserved,.claude/skills/chico-edit-prd
chico-validate-prd,Validate PRD,Validate PRD against standards,cmm,workflow,conserved,.claude/skills/chico-validate-prd
chico-create-ux-design,Create UX Design,Plan UX patterns and design specifications,cmm,workflow,conserved,.claude/skills/chico-create-ux-design
chico-create-architecture,Create Architecture,Document technical decisions for implementation,cmm,workflow,conserved,.claude/skills/chico-create-architecture
chico-create-epics-and-stories,Create Epics and Stories,Break requirements into epics and user stories,cmm,workflow,conserved,.claude/skills/chico-create-epics-and-stories
chico-create-story,Create Story,Create dedicated story file with implementation context,cmm,workflow,conserved,.claude/skills/chico-create-story
